,RID,Active_company,Passive_company,Relation_type,Date_since,Relation_details,Information_source
x,1,GM,Cruise,Ownership,3/11/16,GM acquires Cruise to accelerate autonomous vehicle development.,http://media.gm.com/media/us/en/gm/home.detail.html/content/Pages/news/us/en/2016/mar/0311-cruise.html
x,2,Didi Chuxing,Uber,Investment,7/31/16,Both companies perform cross-investments to settle competition in China.,http://www.bloomberg.com/news/articles/2016-08-01/uber-said-to-merge-china-business-with-didi-in-35-billion-deal
x,3,GM,Lyft,Investment,1/5/16,GM invests $500 million in Lyft and sets out self-driving car partnership.,http://www.reuters.com/article/us-gm-lyft-investment-idUSKBN0UI1A820160105
x,4,BMW,DriveNow,Ownership,6/1/11,DriveNow is a joint venture of BMW and Sixt.,https://en.wikipedia.org/wiki/DriveNow
x,5,Daimler_Mercedes,Car2go,Ownership,10/1/08,Car2go is 100% owned by Daimler.,https://en.wikipedia.org/wiki/Car2Go
x,6,Baidu,BMW,Partners,9/10/14,BMW's  3 Series will be used as basis for Baidu technology.,http://www.pocket-lint.com/news/137408-chinese-search-giant-baidu-is-forming-a-self-driving-car-team-in-silicon-valley
x,7,BMW,Mobileye,Partners,7/1/16,BMW Intel and Mobileye form a partnership to work on self-driving cars.,http://ir.mobileye.com/investor-relations/press-releases/press-release-details/2016/BMW-Group-Intel-and-Mobileye-Team-Up-to-Bring-Fully-Autonomous-Driving-to-Streets-by-2021/default.aspx
x,8,BMW,Intel,Partners,7/1/16,BMW Intel and Mobileye form a partnership to work on self-driving cars.,http://ir.mobileye.com/investor-relations/press-releases/press-release-details/2016/BMW-Group-Intel-and-Mobileye-Team-Up-to-Bring-Fully-Autonomous-Driving-to-Streets-by-2021/default.aspx
x,9,BMW,Here,Ownership,12/4/16,Consortium of BMW Audi Daimler & others buys Here from Nokia.,https://techcrunch.com/2015/12/04/nokia-closes-its-2-8b-sale-of-here-to-the-audi-bmw-and-daimler-car-consortium/
x,10,Audi,Here,Ownership,12/4/16,Consortium of BMW Audi Daimler & others buys Here from Nokia.,https://techcrunch.com/2015/12/04/nokia-closes-its-2-8b-sale-of-here-to-the-audi-bmw-and-daimler-car-consortium/
